Complex1764;Complex1777;Complex1780;Complex1782;Protein3570;Protein3627;Protein3628;Protein3629;Protein3637	Complex1731;Complex1781;Protein3471;Protein3638;Protein3639;Protein3640;Protein3641
Complex1784;Protein3640	Complex1782
Complex1785	Complex1784;Protein3477;Protein3642;Protein3643;Protein3644
Complex1787	Complex1730;Complex1785
Complex243;SmallMolecule19	Complex242;SmallMolecule13
Complex1769;Complex1771;Complex1789;Complex1791;Complex921;Protein3531;Protein3532;Protein3533;Protein3535;Protein3536;Protein3537;Protein3538;Protein3539;Protein3540;Protein3541;Protein3542;Protein3543;Protein3544;Protein3545;Protein3548	Complex1787;Protein3476;Protein3518
Complex1794	Complex1761;Complex1792;Complex1793;Protein3512;Protein3513;Protein3514;Protein3516;Protein3648
Complex1799	Complex1794;Complex1795
Complex1797;Complex1800	Complex1799
Complex1801	Complex1800
Complex1775;Complex1792;Complex1793;Complex1798;Complex1802	Complex1801
Complex1727	Complex1738;Complex1791;Protein3496;Protein3505;Protein3508;Protein3509;Protein3510;Protein3511;SmallMolecule2
Complex1734;Complex1803;Protein2166;Protein3486	Complex1739;SmallMolecule2
Complex1805;Complex1808;SmallMolecule3	Complex1803;Complex1804
Complex1738;Complex1809;Protein3466;Protein3467;Protein3468;Protein3469;Protein3470;Protein3493;Protein3505;Protein3508;Protein3509;Protein3510;Protein3512;Protein3513;Protein3514;Protein3515;Protein3516;Protein3517;Protein3518;Protein3519	Complex1805;Complex969
Complex245	Protein512
Complex1810	Complex1809
Complex1812;Complex1816;Complex969	Complex1810
Complex1817;Protein657;Protein658	Complex1746;Protein3479;Protein3657
Complex1818	Complex1817
Complex1819;Protein3661;Protein3666	Complex1818;Protein3671
Complex1820;Complex384	Complex1748;Protein3479;Protein3657
Complex1821	Complex1820
Complex1822;Protein3661;Protein3666	Complex1821;Protein3671
Complex1734;Complex1824;Complex384	Complex1823;Protein3479;Protein3657
Complex1825	Complex1824
Complex246;SmallMolecule19	Complex245;SmallMolecule13
Complex1826;Protein3661;Protein3666	Complex1825;Protein3671
Complex1744	Complex1745;Protein3527
Complex1741	Complex1742;Complex1744
Complex1747	Complex1742;Complex1745
Complex1751	Complex1734;Complex1752
Complex1750	Complex1732;Complex1751
Complex1749	Complex1733;Complex1735;Complex1750;Protein2166;Protein3486
Complex1732;Complex1733;Complex1735;Complex1823;Protein2166;Protein3486	Complex1749
PhysicalEntity227	PhysicalEntity208
Complex1827	PhysicalEntity227;Protein3672
Complex1828	Complex1827;Protein3673
Complex1829;SmallMolecule519	Complex1828;SmallMolecule495
PhysicalEntity229	PhysicalEntity216
Complex1830	Protein3674
Complex1831	Complex1830;PhysicalEntity229
Complex1832	Protein3675
Complex1833	Complex1832;PhysicalEntity229
Complex1834;SmallMolecule519	Complex1831;SmallMolecule495
Complex1835;SmallMolecule519	Complex1833;SmallMolecule495
PhysicalEntity234	PhysicalEntity231
Complex43	Complex39;Protein101
Complex249	Protein514;Protein525;SmallMolecule72
PhysicalEntity237	PhysicalEntity234
PhysicalEntity240;SmallMolecule422	PhysicalEntity237;SmallMolecule2;SmallMolecule6
PhysicalEntity243;PhysicalEntity244;PhysicalEntity245	PhysicalEntity241
PhysicalEntity246;SmallMolecule14;SmallMolecule422	PhysicalEntity243;PhysicalEntity244;SmallMolecule2
Complex1839	Complex967;PhysicalEntity247;Protein3698
Complex1840;PhysicalEntity248;Protein3699;SmallMolecule20	Complex1839
PhysicalEntity252;SmallMolecule519	PhysicalEntity251;SmallMolecule495
PhysicalEntity262;SmallMolecule519	PhysicalEntity253;SmallMolecule495
PhysicalEntity274;SmallMolecule317	PhysicalEntity271;SmallMolecule300
PhysicalEntity278;SmallMolecule317	PhysicalEntity277;SmallMolecule300
Complex254;SmallMolecule19	Complex249;SmallMolecule13
PhysicalEntity288;SmallMolecule522	PhysicalEntity287;SmallMolecule521
PhysicalEntity290;SmallMolecule14	PhysicalEntity289;SmallMolecule523
PhysicalEntity294;SmallMolecule513	PhysicalEntity293;SmallMolecule512
PhysicalEntity296;SmallMolecule513	PhysicalEntity295;SmallMolecule512
PhysicalEntity298;SmallMolecule513	PhysicalEntity297;SmallMolecule512
PhysicalEntity300;SmallMolecule513	PhysicalEntity299;SmallMolecule512
Complex259	Protein532
PhysicalEntity316;SmallMolecule527	PhysicalEntity315;SmallMolecule526
PhysicalEntity318;SmallMolecule513	PhysicalEntity317;SmallMolecule512
PhysicalEntity328;SmallMolecule513	PhysicalEntity327;SmallMolecule512
Complex263;SmallMolecule19	Complex259;SmallMolecule13
PhysicalEntity330;SmallMolecule421	PhysicalEntity329;SmallMolecule13;SmallMolecule40
PhysicalEntity332;SmallMolecule421	PhysicalEntity331;SmallMolecule540
PhysicalEntity334;SmallMolecule513	PhysicalEntity333;SmallMolecule512
