#Tail	Head	PosReg	NegReg	ID
pid_9316	pid_9317	pid_11799	None	pid_71869
pid_50594	pid_98196	pid_25217;pid_97916;pid_97871	None	pid_98195
pid_107864;pid_60205	pid_107866	None	None	pid_107863
pid_168364;pid_5721	pid_168322	None	None	pid_168777
pid_8672	pid_50648	pid_14271	None	pid_158999
pid_21965	pid_167480	pid_107806;pid_167489	None	pid_167718
None	pid_172972	pid_172974	pid_70181	pid_172971
pid_95109;pid_95112	pid_5311;pid_95115	pid_95123	None	pid_95108
pid_22522	pid_74307	None	None	pid_80974
pid_161170;pid_161173;pid_40432	pid_160934;pid_161176	None	None	pid_161169
None	pid_110734	pid_83513	None	pid_161165
pid_148292;pid_148454	pid_148353	None	None	pid_148453
pid_31106;pid_59172	pid_164444	None	None	pid_164443
pid_24768	pid_96264	pid_96268	None	pid_96263
pid_120439;pid_120476	pid_120487	None	None	pid_120541
pid_135576;pid_135701	pid_135656	None	None	pid_135700
pid_72906	pid_135254	pid_45410;pid_73163	None	pid_135253
pid_47588;pid_61741	pid_62218	None	None	pid_62217
None	pid_8119	None	pid_98449	pid_98447
None	pid_16028	pid_32925	None	pid_33111
pid_160112	pid_156522	pid_3110	None	pid_160111
None	pid_164730	pid_171998	None	pid_0172401
pid_168554	pid_168555	pid_168559	None	pid_168553
pid_141984;pid_142370	pid_142217	pid_6662	None	pid_142369
pid_107441;pid_60149	pid_71798	None	None	pid_126873
None	pid_13887	pid_145216	None	pid_0145215
pid_64120;pid_9725	pid_85219	None	None	pid_85248
pid_9614	pid_9617	pid_9545;pid_9550	None	pid_9613
pid_107698;pid_60149	pid_126880	None	None	pid_126879
None	pid_5603	pid_16000	None	pid_0165832
None	pid_5603	pid_7761	None	pid_0165833
pid_9887	pid_9681	pid_9074;pid_9686	None	pid_9886
pid_148275	pid_148278	pid_100448	None	pid_148274
pid_148908;pid_62982	pid_148911	None	None	pid_148907
None	pid_84579	pid_84583;pid_41132	None	pid_84592
pid_9643	pid_12335	pid_161393	None	pid_161389
None	pid_84579	pid_84600	pid_84612	pid_84598
pid_18573	pid_158622;pid_159155	pid_4936	None	pid_159154
pid_16234	pid_92936	pid_113693	None	pid_113689
None	pid_7555	pid_98507	None	pid_98505
None	pid_16000	pid_140297	None	pid_140295
pid_30807;pid_35101;pid_70577	pid_167788	None	None	pid_167869
None	pid_12297	None	pid_36304	pid_036303
None	pid_13887	None	pid_131880	pid_0139961
pid_83503	pid_4936	pid_160384	None	pid_160380
pid_167804;pid_58015	pid_167484	None	None	pid_167864
pid_9413	pid_31152	pid_9317;pid_9379	None	pid_152107
pid_106903;pid_107105	pid_107734	None	None	pid_107733
pid_22119	pid_55335	pid_113797;pid_34172	None	pid_113836
None	pid_159737	pid_55286	None	pid_159736
pid_48871;pid_48872	pid_20734	None	None	pid_48870
None	pid_49645	None	pid_49648	pid_049647
None	pid_49645	pid_49410	None	pid_049646
pid_24610;pid_24687	pid_24686	None	None	pid_24726
None	pid_122491	pid_7814;pid_84583;pid_122491	None	pid_165711
pid_4928	pid_4936	pid_71439	None	pid_71686
None	pid_85048	pid_90165;pid_122140;pid_84583	None	pid_165719
None	pid_70159	None	pid_70103	pid_070161
pid_134079;pid_134081	pid_134085	None	None	pid_134078
pid_26492	pid_26581	None	None	pid_26580
pid_26307	pid_26270;pid_26313;pid_26317	pid_26593	None	pid_26587
pid_99493;pid_99560	pid_99717	None	None	pid_99716
pid_28256;pid_3114	pid_28103;pid_3119	pid_34409	None	pid_34462
None	pid_20498	pid_24893	None	pid_070129
